Date,regime,holding,strategy_return,qqq_return,tqqq_return,year_month
2013-02-06,Calm,TQQQ,-4.678737038843891,-0.003266548115746383,-0.009337082229586798,2013-02
2013-02-07,TQQQ,QQQ,4.676361972674592,0.0008914819464480931,0.00247421436349302,2013-02
2013-02-08,QQQ,QQQ,0.010200638104426767,0.010200638104426767,0.029915765944101398,2013-02
2013-02-11,Calm,TQQQ,-4.654516538324747,0.00029438716399572885,-0.0003439078533222284,2013-02
2013-02-12,TQQQ,QQQ,4.650685237437224,-0.004125688051518989,-0.01172393103210845,2013-02
2013-02-13,QQQ,QQQ,0.0035373898057945233,0.0035373898057945233,0.011552856440552463,2013-02
2013-02-14,Calm,TQQQ,-4.65645309960035,-0.0002947480736775862,-0.0020593977657762477,2013-02
2013-02-15,TQQQ,QQQ,4.653210662241809,-0.0029476892848645866,-0.008626371908821612,2013-02
2013-02-19,Calm,TQQQ,-4.6402385305749,0.007206734962138451,0.021598503575729937,2013-02
2013-02-20,TQQQ,QQQ,4.631938511780197,-0.015506753756841143,-0.0466895765601078,2013-02
2013-02-21,QQQ,QQQ,-0.010773151555151617,-0.010773151555151617,-0.033055758235984445,2013-02
2013-02-22,Calm,TQQQ,-4.671950418923033,0.010029172996167597,0.028960276098104785,2013-02
2013-02-25,Calm,TQQQ,-0.038001560829777625,-0.01243959142687196,-0.038001560829777625,2013-02
2013-02-26,TQQQ,QQQ,4.711304828250484,0.0037632669283782817,0.011974195357680156,2013-02
2013-02-27,QQQ,QQQ,0.010164550241576469,0.010164550241576469,0.02994508525458649,2013-02
2013-02-28,Calm,TQQQ,-4.683289784735547,-0.0020844027748464157,-0.0037396868557528287,2013-02
2013-03-01,TQQQ,QQQ,4.685369599500454,0.004164217539753584,0.010293508370895935,2013-03
2013-03-04,Calm,TQQQ,-4.662270686895661,0.004442583064183388,0.012805404233897845,2013-03
2013-03-05,TQQQ,QQQ,4.68138019389633,0.014666923936485995,0.04298831592000675,2013-03
2013-03-06,QQQ,QQQ,-0.0024779230603123284,-0.0024779230603123284,-0.0063647514701042785,2013-03
2013-03-07,Calm,TQQQ,-4.633577929471266,0.0026240199575910204,0.008700776914849629,2013-03
2013-03-08,TQQQ,QQQ,4.637365939677339,0.0011639902484820316,0.0011651228364689228,2013-03
2013-03-11,Calm,TQQQ,-4.625938215053533,0.002903846131719599,0.010262601787336845,2013-03
2013-03-12,TQQQ,QQQ,4.625210655739855,-0.0036314054453970334,-0.012261385992687189,2013-03
2013-03-13,QQQ,QQQ,-0.001310669710891958,-0.001310669710891958,-0.003172484452797018,2013-03
2013-03-14,Calm,TQQQ,-4.629183532048106,0.003345676257868441,0.010150324426340635,2013-03
